Date,Close/Last,Volume,Open,High,Low
02/11/2022,99.65,3832908,101.57,102.01,99.4
02/10/2022,101.58,3485169,101.84,103.27,101.16
02/09/2022,103.07,5696276,102.52,103.07,102.5
02/08/2022,101.47,2720580,100.55,101.64,100.34
02/07/2022,100.69,3938657,100.93,101.42,100.495
02/04/2022,100.89,5877872,100.36,101.57,99.92
02/03/2022,100.44,21242140,101.11,101.585,100.27
02/02/2022,102.4,2463291,102.38,102.61,101.68
02/01/2022,101.75,3796398,101.19,101.83,100.48
01/31/2022,100.97,3866804,99,101.05,98.88
01/28/2022,98.93,10745630,97.37,98.96,96.44
01/27/2022,97.37,6188696,98.61,99.23,97.03
01/26/2022,97.87,5429461,99.69,100.17,97.155
01/25/2022,98.36,17991890,98.03,99.38,96.92
01/24/2022,99.36,11927580,97.87,99.4,95.6
01/21/2022,99.52,8781099,100.93,101.32,99.44
01/20/2022,101.24,10613680,102.64,103.58,101.185
01/19/2022,102.04,6159477,103.11,103.41,102
01/18/2022,102.66,8445998,103.26,103.37,102.45
01/14/2022,104.47,6341201,103.9,104.51,103.51
01/13/2022,104.44,5320123,106.04,106.119,104.29
01/12/2022,105.86,4580799,105.79,106.08,105.3
01/11/2022,105.22,7804601,104.09,105.22,103.58
01/10/2022,103.98,12844940,103.55,103.98,102.31
01/07/2022,104.28,4589412,104.44,104.72,103.77
01/06/2022,104.3,6908732,104.32,104.95,103.795
01/05/2022,104.52,6835711,106.31,106.44,104.47
01/04/2022,106.25,9016148,106.73,106.78,105.89
01/03/2022,106.34,12987520,106.12,106.36,105.55
12/31/2021,105.78,5529618,105.95,106.205,105.72
12/30/2021,105.95,2156044,106.12,106.4,105.88
12/29/2021,106.15,7856406,106.13,106.32,105.78
12/28/2021,106.14,7114977,106.36,106.54,106.039
12/27/2021,106.25,2712224,105.29,106.25,105.25
12/23/2021,105.1,3693318,104.66,105.395,104.61
12/22/2021,104.43,5294066,103.36,104.47,103.34
12/21/2021,103.46,3683057,102.54,103.54,102.215
12/20/2021,101.8,4003803,101.58,101.86,101.025
12/17/2021,102.77,4335910,103.01,103.62,102.41
12/16/2021,103.79,4886490,104.89,104.98,103.38
12/15/2021,104.29,3676865,102.94,104.375,102.42
12/14/2021,103.01,5586669,102.94,103.445,102.42
12/13/2021,103.57,3633442,104.43,104.43,103.57
12/10/2021,105.63,3963490,105.56,105.74,104.97
12/09/2021,105.06,6138722,105.47,105.68,105.03
12/08/2021,105.9,4336731,105.7,105.98,105.37
12/07/2021,105.6,6047821,104.69,105.635,104.69
12/06/2021,103.36,6256205,102.81,103.69,102.25
12/03/2021,102.33,7075429,103.54,103.76,101.48
12/02/2021,103.21,8715470,102.1,103.58,102.02
12/01/2021,101.74,5985047,104.15,104.735,101.74
11/30/2021,102.88,7431515,103.87,104.335,102.5
11/29/2021,104.3,4160014,104.5,104.745,103.76
11/26/2021,103.37,4094744,104.17,104.42,103.17
11/24/2021,105.95,2439737,105.21,105.985,105.03
11/23/2021,105.91,2681394,105.81,106.23,105.2
11/22/2021,105.94,5876717,106.77,107.16,105.9
11/19/2021,106.58,1969907,106.83,107.055,106.54
11/18/2021,106.96,1730897,106.96,107.07,106.33
